ID	NAME	ISO	CLASSIFICATION	VARIETY	SIZE	LINK2SOURCE
swe_std	Swedish	swe	Indo-European,Germanic,North,East Scandinavian,Danish-Swedish,Swedish	std	2060	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=187
swh_std	Swahili	swh	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Narrow Bantu,Central,G,Swahili (G.40)	std	1647	http://wold.livingsources.org/vocabulary/1
tab_Northern	Tabassaran (Northern)	tab	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,East Lezgic	Northern	1651	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=67
tab_Southern	Tabassaran (Southern)	tab	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,East Lezgic	Southern	1748	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=68
tam_std	Tamil	tam	Dravidian,Southern,Tamil-Kannada,Tamil-Kodagu,Tamil-Malyalam,Tamil	std	1205	http://spraakbanken.gu.se/eng/research/digital-areal-linguistics/word-lists
tbc_std	Takia	tbc	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Western Oceanic,North New Guinea,Ngero-Vitiaz,Vitiaz,Bel,Nuclear Bel,Northern	std	1207	http://wold.livingsources.org/vocabulary/29
teh_std	Tehuelche	teh	Chon	std	852	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=310
tel_std	Telugu	tel	Dravidian,South-Central,Telugu	std	3869	http://spraakbanken.gu.se/eng/research/digital-areal-linguistics/word-lists
tha_std	Thai	tha	Tai-Kadai,Kam-Tai,Be-Tai,Tai-Sek,Tai,Southwestern,East Central,Chiang Saeng	std	1824	http://wold.livingsources.org/vocabulary/23
tin_std	Tindi	tin	North Caucasian,East Caucasian,Avar-Andic,Andic	std	1517	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=50
tkr_std	Tsakhur	tkr	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,West Lezgic	std	1370	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=70
tli_std	Tlingit	tli	Na-Dene,Nuclear Na-Dene,Tlingit	std	1319	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=228
tna_std	Tacana	tna	Tacanan,Araona-Tacana,Cavinena-Tacana,Tacana Proper	std	1153	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=276
tob_std	Toba	tob	Mataco-Guaicuru,Guaicuruan	std	1295	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=314
ton_std	Tongan	ton	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Tongic	std	1636	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=240
tpy_std	Trumai	tpy	unknown	std	643	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
trn_std	Trinitario	trn	Arawakan,Maipuran,Southern Maipuran,Bolivia-Parana	std	872	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=265
tsi_std	Tsimshian	tsi	Penutian,Tsimshian	std	802	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=229
tue_std	Tuyuca	tue	Tucanoan,Eastern Tucanoan,Central,Bara	std	1026	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=257
tzz_std	Tzotzil, Zinacantán	tzz	Mayan,Cholan-Tzeltalan,Tzeltalan	std	1258	http://wold.livingsources.org/vocabulary/33
udi_std	Udi	udi	North Caucasian,East Caucasian,Lezgic,Udi	std	1301	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=80
udm_std	Udmurt	udm	Uralic,Permian	std	1490	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=159
vec_std	Venetian	vec	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Italian	std	625	http://www.logosdictionary.org/
vie_std	Vietnamese	vie	Austro-Asiatic,Mon-Khmer,Viet-Muong,Vietnamese	std	1335	http://wold.livingsources.org/vocabulary/24
wap_std	Wapishana	wap	Arawakan,Maipuran,Northern Maipuran,Wapishanan	std	1104	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=266
wau_std	Waurá	wau	Arawakan,Maipuran,Central Maipuran	std	1218	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=267
waw_std	Waiwai	waw	Carib,Northern,East-West Guiana,Waiwai	std	985	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=175
wca_std	Yanomámi	wca	Yanomam	std	892	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=253
yaa_std	Yaminahua	yaa	Panoan,South-Central,Yaminahua-Sharanahua	std	1235	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=282
yad_std	Yagua	yad	Peba-Yaguan	std	1682	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=260
yae_std	Pumé	yae	unknown	std	1111	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=251
yag_std	Yámana	yag	unknown	std	658	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=315
yaq_std	Yaqui	yaq	Uto-Aztecan,Southern Uto-Aztecan,Sonoran,Cahita	std	1434	http://wold.livingsources.org/vocabulary/32
yau_std	Yuwana	yau	unknown	std	959	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=250
ydd_std	Yiddish, Eastern	ydd	Indo-European,Germanic,West,High German,Yiddish	std	1735	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=195
ykt_std	Kathu	ykt	Sino-Tibetan,Tibeto-Burman,Burmic,Ngwi,Southeastern	std	1445	http://wold.livingsources.org/vocabulary/
yrk_std	Nenets	yrk	Uralic,Samoyed	std	1277	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=148
yvt_std	Yavitero	yvt	Arawakan,Maipuran,Northern Maipuran,Inland	std	713	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=268
zun_std	Zuni	zun	unknown	std	968	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=226
