ID	NAME	ISO	CLASSIFICATION	VARIETY	SIZE	LINK2SOURCE
hye_Western	Armenian (Western)	hye	Indo-European,Armenian	Western	1754	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=207
ign_std	Ignaciano	ign	Arawakan,Maipuran,Southern Maipuran,Bolivia-Parana	std	1054	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=263
ind_std	Indonesian	ind	Austronesian,Malayo-Polynesian,Malayo-Sumbawan,North and East,Malayic,Malay	std	1873	http://wold.livingsources.org/vocabulary/27
irk_std	Iraqw	irk	Afro-Asiatic,Cushitic,South	std	1216	http://wold.livingsources.org/vocabulary/2
ita_std	Italian	ita	Indo-European,Italic,Romance,Italo-Western,Italo-Dalmatian	std	1512	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=170
ito_std	Itonama	ito	unknown	std	881	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=284
jdt_std	Judeo-Tat	jdt	Indo-European,Indo-Iranian,Iranian,Western,Southwestern,Tat	std	1461	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
jpn_std	Japanese	jpn	Japonic	std	1864	http://wold.livingsources.org/vocabulary/21
jup_std	Hupdë	jup	Maku	std	1058	http://wold.livingsources.org/vocabulary/39
kap_std	Bezhta	kap	North Caucasian,East Caucasian,Tsezic,East Tsezic	std	1594	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=160
kca_std	Khanty	kca	Uralic	std	1383	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=135
kek_std	Q’eqchi’	kek	Mayan,Quichean-Mamean,Greater Quichean,Kekchi	std	1812	http://wold.livingsources.org/vocabulary/34
ket_std	Ket	ket	Yeniseian	std	1142	http://wold.livingsources.org/vocabulary/18
kgp_std	Kaingang	kgp	Macro-Ge,Ge-Kaingang	std	1681	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=294
kha_std	Khasi	kha	Austro-Asiatic,Mon-Khmer,NorthernMon-Khmer,Khasian,Khasi	std	1225	http://spraakbanken.gu.se/eng/research/digital-areal-linguistics/word-lists
khv_Inxokvari	Khvarshi (Inxokvari)	khv	North Caucasian,East Caucasian,Tsezic,West Tsezic	Inxokvari	1646	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=54
khv_Khvarshi	Khvarshi (Khvarshi)	khv	North Caucasian,East Caucasian,Tsezic,West Tsezic	Khvarshi	1480	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=41
kij_std	Kilivila	kij	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Western Oceanic,Papuan Tip,Peripheral,Kilivila-Louisiades,Kilivila	std	1559	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
knc_std	Kanuri, Central	knc	Nilo-Saharan,Saharan,Western,Kanuri	std	1417	http://wold.livingsources.org/vocabulary/5
knt_std	Katukína, Panoan	knt	Panoan,Southeastern	std	1068	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
