IDSKEY	LABEL	Occurrences
19.59	hinder, prevent	267
19.61	custom	252
19.62	strife, quarrel	315
19.63	conspiracy, plot	169
19.65	meet	272
19.72	prostitute	236
2.1	person, human being	319
2.21	man (vs. woman)	280
2.22	woman	288
2.23	male	253
2.24	female	233
2.25	boy	278
2.251	young man (adolescent)	284
2.26	girl	272
2.261	young woman (adolescent)	273
2.27	child	287
2.28	infant, baby	297
2.31	husband	313
2.32	wife	302
2.33	marry	325
2.34	marriage, wedding	283
2.341	divorce	209
2.35	father	305
2.36	mother	293
2.37	parents	215
2.38	married man	177
2.39	married woman	187
2.41	son	274
2.42	daughter	262
2.43	offspring (son or daughter)	253
2.44	brother	247
2.444	older brother	254
2.445	younger brother	227
2.45	sister	236
2.454	older sister	228
2.455	younger sister	218
2.456	sibling	218
2.458	twins	217
2.46	grandfather	300
2.461	old man	274
2.47	grandmother	300
2.471	old woman	261
2.48	grandson	272
2.49	granddaughter	254
2.51	uncle	252
2.511	mother's brother	223
2.512	father's brother	241
2.52	aunt	259
2.521	mother's sister	219
2.522	father's sister	217
2.53	nephew	276
2.54	niece	271
2.55	cousin	346
2.56	ancestors	243
2.57	descendants	221
2.61	father-in-law (of a man)	230
2.611	father-in-law (of a woman)	204
2.62	mother-in-law (of a man)	235
2.621	mother-in-law (of a woman)	200
2.63	son-in-law (of a man)	229
2.631	son-in-law (of a woman)	203
2.64	daughter-in-law (of a man)	225
2.641	daughter-in-law (of a woman)	207
2.71	stepfather	208
2.72	stepmother	216
2.73	stepson	194
2.74	stepdaughter	175
2.75	orphan	246
2.76	widow	231
2.77	widower	210
2.81	relatives, kinsmen	257
2.82	family	213
2.91	I	289
2.92	you (singular)	333
2.93	he/she/it	405
2.94	we	241
2.941	we (inclusive)	184
2.942	we (exclusive)	184
2.95	you (plural)	267
2.96	they	302
20.11	fight (vb)	311
20.13	war, battle	276
20.14	peace	206
20.15	army	202
20.17	soldier	211
20.21	weapons, arms	187
20.22	club	244
20.222	battle-ax	134
20.23	sling	163
20.24	bow	231
20.25	arrow	243
20.26	spear	237
20.27	sword	184
20.28	gun, cannon	299
20.31	armor (defensive)	157
20.33	helmet	154
20.34	shield	124
20.35	fortress	164
20.36	tower	141
20.41	victory	200
20.42	defeat	202
20.43	attack	203
20.44	defend	214
20.45	retreat	209
20.46	surrender	173
20.47	captive, prisoner	246
20.471	guard, sentinel	236
20.48	booty, spoils	184
20.49	ambush	180
20.51	fisherman	214
20.52	fishhook	217
20.53	fishing line	172
20.54	fishnet	217
20.55	fish trap	161
20.56	bait	166
20.61	hunt	257
20.62	shoot	293
20.63	miss (target)	211
20.64	trap (noun)	240
20.65	trap (vb)	202
21.11	law	204
21.15	court	172
21.16	judge (vb)	169
21.17	judgment	157
21.18	judge (noun)	176
21.21	plaintiff	141
21.22	defendant	160
21.23	witness	172
